Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-04-23,Australia,Australian Capital Territory,104,93,3
2020-04-24,Australia,Australian Capital Territory,105,97,3
2020-04-25,Australia,Australian Capital Territory,106,98,3
2020-04-26,Australia,Australian Capital Territory,106,99,3
2020-04-27,Australia,Australian Capital Territory,106,100,3
2020-04-28,Australia,Australian Capital Territory,106,101,3
2020-04-29,Australia,Australian Capital Territory,106,101,3
2020-04-30,Australia,Australian Capital Territory,106,103,3
2020-05-01,Australia,Australian Capital Territory,106,103,3
2020-05-02,Australia,Australian Capital Territory,106,103,3
2020-05-03,Australia,Australian Capital Territory,106,103,3
2020-05-04,Australia,Australian Capital Territory,107,103,3
2020-05-05,Australia,Australian Capital Territory,107,103,3
2020-05-06,Australia,Australian Capital Territory,107,103,3
2020-05-07,Australia,Australian Capital Territory,107,103,3
2020-05-08,Australia,Australian Capital Territory,107,103,3
2020-05-09,Australia,Australian Capital Territory,107,104,3
2020-05-10,Australia,Australian Capital Territory,107,104,3
2020-05-11,Australia,Australian Capital Territory,107,104,3
2020-05-12,Australia,Australian Capital Territory,107,104,3
2020-05-13,Australia,Australian Capital Territory,107,104,3
2020-05-14,Australia,Australian Capital Territory,107,104,3
2020-05-15,Australia,Australian Capital Territory,107,104,3
2020-05-16,Australia,Australian Capital Territory,107,104,3
2020-05-17,Australia,Australian Capital Territory,107,104,3
2020-05-18,Australia,Australian Capital Territory,107,104,3
2020-05-19,Australia,Australian Capital Territory,107,104,3
2020-05-20,Australia,Australian Capital Territory,107,104,3
2020-05-21,Australia,Australian Capital Territory,107,104,3
2020-05-22,Australia,Australian Capital Territory,107,104,3
2020-05-23,Australia,Australian Capital Territory,107,104,3
2020-05-24,Australia,Australian Capital Territory,107,104,3
2020-05-25,Australia,Australian Capital Territory,107,104,3
2020-05-26,Australia,Australian Capital Territory,107,104,3
2020-05-27,Australia,Australian Capital Territory,107,104,3
2020-05-28,Australia,Australian Capital Territory,107,104,3
2020-05-29,Australia,Australian Capital Territory,107,104,3
2020-05-30,Australia,Australian Capital Territory,107,104,3
2020-05-31,Australia,Australian Capital Territory,107,104,3
2020-06-01,Australia,Australian Capital Territory,107,104,3
2020-06-02,Australia,Australian Capital Territory,107,104,3
2020-06-03,Australia,Australian Capital Territory,107,104,3
2020-06-04,Australia,Australian Capital Territory,107,104,3
2020-06-05,Australia,Australian Capital Territory,107,104,3
2020-06-06,Australia,Australian Capital Territory,108,104,3
2020-06-07,Australia,Australian Capital Territory,108,104,3
2020-06-08,Australia,Australian Capital Territory,108,104,3
2020-06-09,Australia,Australian Capital Territory,108,104,3
2020-06-10,Australia,Australian Capital Territory,108,104,3
2020-06-11,Australia,Australian Capital Territory,108,104,3
2020-06-12,Australia,Australian Capital Territory,108,104,3
2020-06-13,Australia,Australian Capital Territory,108,104,3
2020-06-14,Australia,Australian Capital Territory,108,104,3
2020-06-15,Australia,Australian Capital Territory,108,104,3
2020-06-16,Australia,Australian Capital Territory,108,105,3
2020-06-17,Australia,Australian Capital Territory,108,105,3
2020-06-18,Australia,Australian Capital Territory,108,105,3
2020-06-19,Australia,Australian Capital Territory,108,105,3
2020-06-20,Australia,Australian Capital Territory,108,105,3
2020-06-21,Australia,Australian Capital Territory,108,105,3
2020-06-22,Australia,Australian Capital Territory,108,105,3
2020-06-23,Australia,Australian Capital Territory,108,105,3
2020-06-24,Australia,Australian Capital Territory,108,105,3
2020-06-25,Australia,Australian Capital Territory,108,105,3
2020-06-26,Australia,Australian Capital Territory,108,105,3
2020-06-27,Australia,Australian Capital Territory,108,105,3
2020-06-28,Australia,Australian Capital Territory,108,105,3
2020-06-29,Australia,Australian Capital Territory,108,105,3
2020-06-30,Australia,Australian Capital Territory,108,105,3
2020-07-01,Australia,Australian Capital Territory,108,105,3
2020-07-02,Australia,Australian Capital Territory,108,105,3
2020-07-03,Australia,Australian Capital Territory,108,105,3
2020-07-04,Australia,Australian Capital Territory,108,105,3
2020-07-05,Australia,Australian Capital Territory,108,105,3
2020-07-06,Australia,Australian Capital Territory,108,105,3
2020-07-07,Australia,Australian Capital Territory,111,105,3
2020-07-08,Australia,Australian Capital Territory,112,105,3
2020-07-09,Australia,Australian Capital Territory,113,105,3
2020-07-10,Australia,Australian Capital Territory,113,105,3
2020-07-11,Australia,Australian Capital Territory,113,105,3
2020-07-12,Australia,Australian Capital Territory,113,105,3
2020-07-13,Australia,Australian Capital Territory,113,105,3
2020-07-14,Australia,Australian Capital Territory,113,105,3
2020-07-15,Australia,Australian Capital Territory,113,105,3
2020-07-16,Australia,Australian Capital Territory,113,105,3
2020-07-17,Australia,Australian Capital Territory,113,105,3
2020-07-18,Australia,Australian Capital Territory,113,105,3
2020-07-19,Australia,Australian Capital Territory,113,107,3
2020-07-20,Australia,Australian Capital Territory,113,107,3
2020-07-21,Australia,Australian Capital Territory,113,107,3
2020-07-22,Australia,Australian Capital Territory,113,109,3
2020-07-23,Australia,Australian Capital Territory,113,109,3
2020-07-24,Australia,Australian Capital Territory,113,109,3
2020-07-25,Australia,Australian Capital Territory,113,109,3
2020-07-26,Australia,Australian Capital Territory,113,109,3
2020-07-27,Australia,Australian Capital Territory,113,109,3
2020-07-28,Australia,Australian Capital Territory,113,109,3
2020-07-29,Australia,Australian Capital Territory,113,109,3
2020-07-30,Australia,Australian Capital Territory,113,109,3
2020-07-31,Australia,Australian Capital Territory,113,110,3
2020-08-01,Australia,Australian Capital Territory,113,110,3
2020-08-02,Australia,Australian Capital Territory,113,110,3
2020-08-03,Australia,Australian Capital Territory,113,110,3
2020-08-04,Australia,Australian Capital Territory,113,110,3
2020-08-05,Australia,Australian Capital Territory,113,110,3
2020-08-06,Australia,Australian Capital Territory,113,110,3
2020-08-07,Australia,Australian Capital Territory,113,110,3
2020-08-08,Australia,Australian Capital Territory,113,110,3
2020-08-09,Australia,Australian Capital Territory,113,110,3
2020-08-10,Australia,Australian Capital Territory,113,110,3
2020-08-11,Australia,Australian Capital Territory,113,110,3
2020-08-12,Australia,Australian Capital Territory,113,110,3
2020-08-13,Australia,Australian Capital Territory,113,110,3
2020-08-14,Australia,Australian Capital Territory,113,110,3
2020-08-15,Australia,Australian Capital Territory,113,110,3
2020-08-16,Australia,Australian Capital Territory,113,110,3
2020-08-17,Australia,Australian Capital Territory,113,110,3
2020-08-18,Australia,Australian Capital Territory,113,110,3
2020-08-19,Australia,Australian Capital Territory,113,110,3
2020-08-20,Australia,Australian Capital Territory,113,110,3
2020-08-21,Australia,Australian Capital Territory,113,110,3
2020-08-22,Australia,Australian Capital Territory,113,110,3
2020-08-23,Australia,Australian Capital Territory,113,110,3
2020-08-24,Australia,Australian Capital Territory,113,110,3
2020-08-25,Australia,Australian Capital Territory,113,110,3
2020-08-26,Australia,Australian Capital Territory,113,110,3
2020-08-27,Australia,Australian Capital Territory,113,110,3
2020-08-28,Australia,Australian Capital Territory,113,110,3
2020-08-29,Australia,Australian Capital Territory,113,110,3
2020-08-30,Australia,Australian Capital Territory,113,110,3
2020-08-31,Australia,Australian Capital Territory,113,110,3
2020-09-01,Australia,Australian Capital Territory,113,110,3
2020-09-02,Australia,Australian Capital Territory,113,110,3
2020-09-03,Australia,Australian Capital Territory,113,110,3
2020-09-04,Australia,Australian Capital Territory,113,110,3
2020-09-05,Australia,Australian Capital Territory,113,110,3
2020-09-06,Australia,Australian Capital Territory,113,110,3
2020-09-07,Australia,Australian Capital Territory,113,110,3
2020-09-08,Australia,Australian Capital Territory,113,110,3
2020-09-09,Australia,Australian Capital Territory,113,110,3
2020-09-10,Australia,Australian Capital Territory,113,110,3
2020-09-11,Australia,Australian Capital Territory,113,110,3
2020-09-12,Australia,Australian Capital Territory,113,110,3
2020-09-13,Australia,Australian Capital Territory,113,110,3
2020-09-14,Australia,Australian Capital Territory,113,110,3
2020-09-15,Australia,Australian Capital Territory,113,110,3
2020-09-16,Australia,Australian Capital Territory,113,110,3
2020-09-17,Australia,Australian Capital Territory,113,110,3
2020-09-18,Australia,Australian Capital Territory,113,110,3
2020-09-19,Australia,Australian Capital Territory,113,110,3
2020-09-20,Australia,Australian Capital Territory,113,110,3
2020-09-21,Australia,Australian Capital Territory,113,110,3
2020-09-22,Australia,Australian Capital Territory,113,110,3
2020-09-23,Australia,Australian Capital Territory,113,110,3
2020-09-24,Australia,Australian Capital Territory,113,110,3
2020-09-25,Australia,Australian Capital Territory,113,110,3
2020-09-26,Australia,Australian Capital Territory,113,110,3
2020-09-27,Australia,Australian Capital Territory,113,110,3
2020-09-28,Australia,Australian Capital Territory,113,110,3
2020-09-29,Australia,Australian Capital Territory,113,110,3
2020-09-30,Australia,Australian Capital Territory,113,110,3
2020-10-01,Australia,Australian Capital Territory,113,110,3
2020-10-02,Australia,Australian Capital Territory,113,110,3
2020-10-03,Australia,Australian Capital Territory,113,110,3
2020-10-04,Australia,Australian Capital Territory,113,110,3
2020-10-05,Australia,Australian Capital Territory,113,110,3
2020-10-06,Australia,Australian Capital Territory,113,110,3
2020-10-07,Australia,Australian Capital Territory,113,110,3
2020-10-08,Australia,Australian Capital Territory,113,110,3
2020-10-09,Australia,Australian Capital Territory,113,110,3
2020-10-10,Australia,Australian Capital Territory,113,110,3
2020-10-11,Australia,Australian Capital Territory,113,110,3
2020-10-12,Australia,Australian Capital Territory,113,110,3
2020-10-13,Australia,Australian Capital Territory,113,110,3
2020-10-14,Australia,Australian Capital Territory,113,110,3
2020-10-15,Australia,Australian Capital Territory,113,110,3
2020-10-16,Australia,Australian Capital Territory,113,110,3
2020-10-17,Australia,Australian Capital Territory,113,110,3
2020-10-18,Australia,Australian Capital Territory,113,110,3
2020-10-19,Australia,Australian Capital Territory,113,110,3
2020-10-20,Australia,Australian Capital Territory,113,110,3
2020-10-21,Australia,Australian Capital Territory,114,110,3
2020-10-22,Australia,Australian Capital Territory,114,110,3
2020-10-23,Australia,Australian Capital Territory,114,110,3
2020-10-24,Australia,Australian Capital Territory,114,110,3
2020-10-25,Australia,Australian Capital Territory,114,110,3
2020-10-26,Australia,Australian Capital Territory,114,110,3
2020-10-27,Australia,Australian Capital Territory,114,110,3
2020-10-28,Australia,Australian Capital Territory,114,110,3
2020-10-29,Australia,Australian Capital Territory,114,111,3
2020-10-30,Australia,Australian Capital Territory,114,111,3
2020-10-31,Australia,Australian Capital Territory,114,111,3
2020-11-01,Australia,Australian Capital Territory,114,111,3
2020-11-02,Australia,Australian Capital Territory,114,111,3
2020-11-03,Australia,Australian Capital Territory,114,111,3
2020-11-04,Australia,Australian Capital Territory,114,111,3
2020-11-05,Australia,Australian Capital Territory,114,111,3
2020-11-06,Australia,Australian Capital Territory,114,111,3
2020-11-07,Australia,Australian Capital Territory,114,111,3
2020-11-08,Australia,Australian Capital Territory,114,111,3
2020-11-09,Australia,Australian Capital Territory,114,111,3
2020-11-10,Australia,Australian Capital Territory,114,111,3
2020-11-11,Australia,Australian Capital Territory,114,111,3
2020-11-12,Australia,Australian Capital Territory,114,111,3
2020-11-13,Australia,Australian Capital Territory,114,111,3
2020-11-14,Australia,Australian Capital Territory,114,111,3
2020-11-15,Australia,Australian Capital Territory,114,111,3
2020-11-16,Australia,Australian Capital Territory,114,111,3
2020-11-17,Australia,Australian Capital Territory,115,111,3
2020-11-18,Australia,Australian Capital Territory,115,111,3
2020-11-19,Australia,Australian Capital Territory,115,111,3
2020-11-20,Australia,Australian Capital Territory,115,111,3
2020-11-21,Australia,Australian Capital Territory,115,111,3
2020-11-22,Australia,Australian Capital Territory,115,111,3
2020-11-23,Australia,Australian Capital Territory,115,111,3
2020-11-24,Australia,Australian Capital Territory,115,111,3
2020-11-25,Australia,Australian Capital Territory,115,112,3
2020-11-26,Australia,Australian Capital Territory,116,112,3
2020-11-27,Australia,Australian Capital Territory,117,112,3
2020-11-28,Australia,Australian Capital Territory,117,112,3
2020-11-29,Australia,Australian Capital Territory,117,112,3
2020-11-30,Australia,Australian Capital Territory,117,112,3
2020-12-01,Australia,Australian Capital Territory,117,112,3
2020-12-02,Australia,Australian Capital Territory,117,112,3
2020-12-03,Australia,Australian Capital Territory,117,112,3
2020-12-04,Australia,Australian Capital Territory,117,113,3
2020-12-05,Australia,Australian Capital Territory,117,113,3
2020-12-06,Australia,Australian Capital Territory,117,113,3
2020-12-07,Australia,Australian Capital Territory,117,113,3
2020-12-08,Australia,Australian Capital Territory,117,114,3
2020-12-09,Australia,Australian Capital Territory,117,114,3
2020-12-10,Australia,Australian Capital Territory,117,114,3
2020-12-11,Australia,Australian Capital Territory,117,114,3
2020-12-12,Australia,Australian Capital Territory,117,114,3
2020-12-13,Australia,Australian Capital Territory,117,114,3
2020-12-14,Australia,Australian Capital Territory,117,114,3
2020-12-15,Australia,Australian Capital Territory,117,114,3
2020-12-16,Australia,Australian Capital Territory,117,114,3
2020-12-17,Australia,Australian Capital Territory,117,114,3
2020-12-18,Australia,Australian Capital Territory,117,114,3
2020-12-19,Australia,Australian Capital Territory,117,114,3
2020-12-20,Australia,Australian Capital Territory,118,114,3
2020-12-21,Australia,Australian Capital Territory,118,114,3
2020-12-22,Australia,Australian Capital Territory,118,114,3
2020-12-23,Australia,Australian Capital Territory,118,114,3
2020-12-24,Australia,Australian Capital Territory,118,114,3
2020-12-25,Australia,Australian Capital Territory,118,114,3
2020-12-26,Australia,Australian Capital Territory,118,114,3
2020-12-27,Australia,Australian Capital Territory,118,114,3
2020-12-28,Australia,Australian Capital Territory,118,114,3
2020-12-29,Australia,Australian Capital Territory,118,114,3
2020-12-30,Australia,Australian Capital Territory,118,114,3
2020-12-31,Australia,Australian Capital Territory,118,114,3
2021-01-01,Australia,Australian Capital Territory,118,114,3
2021-01-02,Australia,Australian Capital Territory,118,114,3
2021-01-03,Australia,Australian Capital Territory,118,114,3
2021-01-04,Australia,Australian Capital Territory,118,115,3
2021-01-05,Australia,Australian Capital Territory,118,115,3
2021-01-06,Australia,Australian Capital Territory,118,115,3
2021-01-07,Australia,Australian Capital Territory,118,115,3
2021-01-08,Australia,Australian Capital Territory,118,115,3
2021-01-09,Australia,Australian Capital Territory,118,115,3
2021-01-10,Australia,Australian Capital Territory,118,115,3
2021-01-11,Australia,Australian Capital Territory,118,115,3
2021-01-12,Australia,Australian Capital Territory,118,115,3
2021-01-13,Australia,Australian Capital Territory,118,115,3
2021-01-14,Australia,Australian Capital Territory,118,115,3
2021-01-15,Australia,Australian Capital Territory,118,115,3
2021-01-16,Australia,Australian Capital Territory,118,115,3
2021-01-17,Australia,Australian Capital Territory,118,115,3
2021-01-18,Australia,Australian Capital Territory,118,115,3
2021-01-19,Australia,Australian Capital Territory,118,115,3
2021-01-20,Australia,Australian Capital Territory,118,115,3
2021-01-21,Australia,Australian Capital Territory,118,115,3
2021-01-22,Australia,Australian Capital Territory,118,115,3
2021-01-23,Australia,Australian Capital Territory,118,115,3
2021-01-24,Australia,Australian Capital Territory,118,115,3
2021-01-25,Australia,Australian Capital Territory,118,115,3
2021-01-26,Australia,Australian Capital Territory,118,115,3
2021-01-27,Australia,Australian Capital Territory,118,115,3
2021-01-28,Australia,Australian Capital Territory,118,115,3
2021-01-29,Australia,Australian Capital Territory,118,115,3
2021-01-30,Australia,Australian Capital Territory,118,115,3
2021-01-31,Australia,Australian Capital Territory,118,115,3
2021-02-01,Australia,Australian Capital Territory,118,115,3
2021-02-02,Australia,Australian Capital Territory,118,115,3
2021-02-03,Australia,Australian Capital Territory,118,115,3
2021-02-04,Australia,Australian Capital Territory,118,115,3
2021-02-05,Australia,Australian Capital Territory,118,115,3
2021-02-06,Australia,Australian Capital Territory,118,115,3
2021-02-07,Australia,Australian Capital Territory,118,115,3
2021-02-08,Australia,Australian Capital Territory,118,115,3
2021-02-09,Australia,Australian Capital Territory,118,115,3
2021-02-10,Australia,Australian Capital Territory,118,115,3
2021-02-11,Australia,Australian Capital Territory,118,115,3
2021-02-12,Australia,Australian Capital Territory,118,115,3
2021-02-13,Australia,Australian Capital Territory,118,115,3
2021-02-14,Australia,Australian Capital Territory,118,115,3
2021-02-15,Australia,Australian Capital Territory,118,115,3
2021-02-16,Australia,Australian Capital Territory,118,115,3
2021-02-17,Australia,Australian Capital Territory,118,115,3
2021-02-18,Australia,Australian Capital Territory,118,115,3
2021-02-19,Australia,Australian Capital Territory,118,115,3
2021-02-20,Australia,Australian Capital Territory,118,115,3
2021-02-21,Australia,Australian Capital Territory,118,115,3
2021-02-22,Australia,Australian Capital Territory,118,115,3
2021-02-23,Australia,Australian Capital Territory,118,115,3
2021-02-24,Australia,Australian Capital Territory,118,115,3
2021-02-25,Australia,Australian Capital Territory,118,115,3
2021-02-26,Australia,Australian Capital Territory,118,115,3
2021-02-27,Australia,Australian Capital Territory,118,115,3
2021-02-28,Australia,Australian Capital Territory,118,115,3
2021-03-01,Australia,Australian Capital Territory,118,115,3
2021-03-02,Australia,Australian Capital Territory,120,115,3
2021-03-03,Australia,Australian Capital Territory,120,115,3
2021-03-04,Australia,Australian Capital Territory,120,115,3
2021-03-05,Australia,Australian Capital Territory,120,115,3
2021-03-06,Australia,Australian Capital Territory,122,115,3
2021-03-07,Australia,Australian Capital Territory,122,115,3
2021-03-08,Australia,Australian Capital Territory,122,115,3
2021-03-09,Australia,Australian Capital Territory,123,115,3
2021-03-10,Australia,Australian Capital Territory,123,115,3
2021-03-11,Australia,Australian Capital Territory,123,115,3
2021-03-12,Australia,Australian Capital Territory,123,115,3
2021-03-13,Australia,Australian Capital Territory,123,115,3
2021-03-14,Australia,Australian Capital Territory,123,115,3
2021-03-15,Australia,Australian Capital Territory,123,115,3
2021-03-16,Australia,Australian Capital Territory,123,115,3
2021-03-17,Australia,Australian Capital Territory,123,115,3
2021-03-18,Australia,Australian Capital Territory,123,115,3
2021-03-19,Australia,Australian Capital Territory,123,116,3
2021-03-20,Australia,Australian Capital Territory,123,116,3
2021-03-21,Australia,Australian Capital Territory,123,116,3
2021-03-22,Australia,Australian Capital Territory,123,116,3
2021-03-23,Australia,Australian Capital Territory,123,117,3
2021-03-24,Australia,Australian Capital Territory,123,117,3
2021-03-25,Australia,Australian Capital Territory,123,117,3
2021-03-26,Australia,Australian Capital Territory,123,119,3
2021-03-27,Australia,Australian Capital Territory,123,120,3
